,Unnamed: 0,title,link,abstract,author,pre_author_num,pre_doi,pre_pdf_link,pre_images_num,pre_words_num,pre_pages_num,top_words,pub_link,published
28,29,Organized cannabinoid receptor distribution in neurons revealed by super-resolution fluorescence imaging,https://www.biorxiv.org/content/10.1101/2020.03.22.002642v1,"G-protein-coupled receptors (GPCRs) play important roles in cellular functions. However, their intra","Hui Li, Jie Yang, Tian Cuiping, Min Diao, Quan Wang, Simeng Zhao, Shanshan Li, Fangzhi Tan, Tian Hua, Chao-Po Lin, Dylan Deska-Gauthier, Garth Thompson, Ying Zhang, Tong Wang, Wenqing Shui, Zhi-Jie Liu, Guisheng Zhong",17,https://doi.org/10.1101/2020.03.22.002642 ,https://www.biorxiv.org/content/10.1101/2020.03.22.002642v1.full.pdf,,84776,36,"neurons, hotspots, fig, periodic, all, d, nm, without, time, allowed",http://dx.doi.org/10.1038/s41467-020-19510-5,1
29,30,Successful Correction of ALD Patient-derived iPSCs Using CRISPR/Cas9,https://www.biorxiv.org/content/10.1101/2020.02.23.962118v1,"X-linked adrenoleukodystrophy (ALD) caused by the ABCD1 mutation, is the most common inherited perox","Eul Sik Jung, Zhejiu Quan, Mi-Yoon Chang, Wonjun Hong, Ji Hun Kim, Seung Hyun Kim, Seungkwon You, Dae-Sung Kim, Jiho Jang, Sang-Hun Lee, Hyongbum (Henry) Kim, Hoon Chul Kang",12,https://doi.org/10.1101/2020.02.23.962118 ,https://www.biorxiv.org/content/10.1101/2020.02.23.962118v1.full.pdf,,53256,25,"cells, ipsc, cat, mutation, pubmed, gene, ipscs, ald, corrected, cell",,0
30,31,Penicillin Binding Protein Substitutions Co-occur with Fluoroquinolone Resistance in Epidemic Lineages of Multi Drug-Resistant Clostridioides difficile,https://www.biorxiv.org/content/10.1101/2022.05.23.493179v1,"Clostridioides difficile remains a key cause of healthcare-associated infection, with multi-drug-res","Kate E. Dingle, Jane Freeman, Xavier Didelot, David W. Eyre, Jeremy Swan, William D. Spittal, Emma V. Clark, Keith A. Jolley, A. Sarah Walker, Mark H. Wilcox, Derrick W. Crook",11,https://doi.org/10.1101/2022.05.23.493179 ,https://www.biorxiv.org/content/10.1101/2022.05.23.493179v1.full.pdf,33,214639,50,"uk, difficile, usa, pbp, oxford, substitutions, japan, resistance, clostridium, canada",,0
31,32,"MTALTND4, a second protein coded by nd4 impacts mitochondrial bioenergetics",https://www.biorxiv.org/content/10.1101/2022.04.28.489924v1,Recent evidence suggests that the coding potential of the mitogenome is underestimated. We found a d,"Laura Kienzle, Stefano Bettinazzi, Marie Brunet, Thierry Choquette, Hajar Hosseini Khorami, Xavier Roucou, Christian R Landry, Annie Angers, Sophie Breton",9,https://doi.org/10.1101/2022.04.28.489924 ,https://www.biorxiv.org/content/10.1101/2022.04.28.489924v1.full.pdf,,44052,20,"mitochondrial, cells, license, d, respiration, protein, fig, cell, hela, de",,0
32,33,"Genetic and real-world clinical data, combined with empirical validation, nominate JAK-STAT signalling as a target for Alzheimers Disease therapeutic development",https://www.biorxiv.org/content/10.1101/179267v1,"As Genome Wide Association Studies (GWAS) have grown in size, the number of genetic variants that ha","Alejo J. Nevado-Holgado, Elena Ribe, Laura Thei, Laura Furlong, Miguel Angel-Mayer, Jie Quan, Jill C. Richardson, Jonathan Cavanagh, Simon Lovestone",9,https://doi.org/10.1101/179267 ,https://www.biorxiv.org/content/10.1101/179267v1.full.pdf,8,88960,47,"mitochondrial, cells, license, d, respiration, protein, fig, cell, hela, de",,0
33,34,Targeted genomic sequencing with probe capture for discovery and surveillance of coronaviruses in bats,https://www.biorxiv.org/content/10.1101/2022.04.25.489472v1,"Public health emergencies like SARS, MERS, and COVID-19 have prioritized surveillance of zoonotic co","Kevin S. Kuchinski, Kara D. Loos, Danae M. Suchan, Jennifer N. Russell, Ashton N. Sies, Charles Kumakamba, Francisca Muyembe, Placide Mbala Kingebeni, Ipos Ngay Lukusa, Frida NKawa, Joseph Atibu Losoma, Maria Makuwa, Amethyst Gillis, Matthew LeBreton, James A. Ayukekbong, Corina Monagin, Damien O. Joly, Karen Saylors, Nathan D. Wolfe, Edward M. Rubin, Jean J. Muyembe Tamfum, Natalie A. Prystajecky, David J. McIver, Christian E. Lange, Andrew D.S. Cameron",25,https://doi.org/10.1101/2022.04.25.489472 ,https://www.biorxiv.org/content/10.1101/2022.04.25.489472v1.full.pdf,29,89750,35,"probe, specimens, sequences, cov, license, sequencing, libraries, capture, sequence, bat",,0
34,35,High-depth resequencing reveals hybrid population and insecticide resistance characteristics of fall armyworm (Spodoptera frugiperda) invading China,https://www.biorxiv.org/content/10.1101/813154v2,The rapid wide-scale spread of fall armyworm ( Spodoptera frugiperda ) has caused serious crop losse,"Lei Zhang, Bo Liu, Weigang Zheng, Conghui Liu, Dandan Zhang, Shengyuan Zhao, Pengjun Xu, Kenneth Wilson, Amy Withers, Christopher M. Jones, Judith A. Smith, Gilson Chipabika, Donald L. Kachigamba, Kiwoong Nam, Emmanuelle dAlençon, Bei Liu, Xinyue Liang, Minghui Jin, Chao Wu, Swapan Chakrabarty, Xianming Yang, Yuying Jiang, Jie Liu, Xiaolin Liu, Weipeng Quan, Guirong Wang, Wei Fan, Wanqiang Qian, Kongming Wu, Yutao Xiao",30,https://doi.org/10.1101/813154 ,https://www.biorxiv.org/content/10.1101/813154v2.full.pdf,9,73590,23,"fall, armyworm, strain, samples, genome, resistance, two, license, gene, china",,0
35,36,A descending pathway facilitates undulatory wave propagation in Caenorhabditis elegans through gap junctions,https://www.biorxiv.org/content/10.1101/131490v5,Descending signals from the brain play critical roles in controlling and modulating locomotion kinem,"Tianqi Xu, Jing Huo, Shuai Shao, Michelle Po, Taizo Kawano, Yangning Lu, Min Wu, Mei Zhen, Quan Wen",9,https://doi.org/10.1101/131490 ,https://www.biorxiv.org/content/10.1101/131490v5.full.pdf,13,119480,45,"motor, body, neurons, unc, type, avb, license, bending, worms, fig",http://dx.doi.org/10.1073/pnas.1717022115,1
36,37,"Coronavirus testing indicates transmission risk increases along wildlife supply chains for human consumption in Viet Nam, 2013-2014",https://www.biorxiv.org/content/10.1101/2020.06.05.098590v3,Outbreaks of emerging coronaviruses in the past two decades and the current pandemic of a novel coro,"Nguyen Quynh Huong, Nguyen Thi Thanh Nga, Nguyen Van Long, Bach Duc Luu, Alice Latinne, Mathieu Pruvot, Nguyen Thanh Phuong, Le Tin Vinh Quang, Vo Van Hung, Nguyen Thi Lan, Nguyen Thi Hoa, Phan Quang Minh, Nguyen Thi Diep, Nguyen Tung, Van Dang Ky, Scott I. Roberton, Hoang Bich Thuy, Nguyen Van Long, Martin Gilbert, Leanne Wicker, Jonna A. K. Mazet, Christine Kreuder Johnson, Tracey Goldstein, Alex Tremeau-Bravard, Victoria Ontiveros, Damien O. Joly, Chris Walzer, Amanda E. Fine, Sarah H. Olson",29,https://doi.org/10.1101/2020.06.05.098590 ,https://www.biorxiv.org/content/10.1101/2020.06.05.098590v3.full.pdf,8,74493,36,"bat, coronavirus, wildlife, bats, viet, nam, coronaviruses, field, https, all",http://dx.doi.org/10.1371/journal.pone.0237129,1
37,38,Exercise preserves fitness capacity during aging through AMPK and mitochondrial dynamics,https://www.biorxiv.org/content/10.1101/2022.06.20.496837v1,"Exercise is a nonpharmacological intervention that improves health during aging, and a valuable tool","Juliane Cruz Campos, Luiz Henrique Marchesi Bozi, Annika Traa, Alexander M van der Bliek, Jeremy M. Van Raamsdonk, T. Keith Blackwell, Julio Cesar Batista Ferreira",7,https://doi.org/10.1101/2022.06.20.496837 ,https://www.biorxiv.org/content/10.1101/2022.06.20.496837v1.full.pdf,5,54769,19,"bat, coronavirus, wildlife, bats, viet, nam, coronaviruses, field, https, all",,0
38,39,Single cell eQTL analysis identifies cell type-specific genetic control of gene expression in fibroblasts and reprogrammed induced pluripotent stem cells,https://www.biorxiv.org/content/10.1101/2020.06.21.163766v1,The discovery that somatic cells can be reprogrammed to induced pluripotent stem cells (iPSCs) - cel,"Drew Neavin, Quan Nguyen, Maciej S. Daniszewski, Helena H. Liang, Han Sheng Chiu, Anne Senabouth, Samuel W Lukowski, Duncan E. Crombie, Grace E. Lidgerwood, Damián Hernández, James C. Vickers, Anthony L. Cook, Nathan J. Palpant, Alice Pébay, Alex W. Hewitt, Joseph E. Powell",16,https://doi.org/10.1101/2020.06.21.163766 ,https://www.biorxiv.org/content/10.1101/2020.06.21.163766v1.full.pdf,,79069,31,"cell, eqtl, fibroblast, type, types, license, expression, cells, gene, single",http://dx.doi.org/10.1186/s13059-021-02293-3,1
