"","V1","V2","V3"
"92","29","anger","23"
"93","29","sadness","31"
"94","29","surprise","31"
"95","29","joy","36"
"96","29","fear","46"
"97","29","anticipation","71"
"98","29","negative","93"
"99","29","trust","146"
"100","29","positive","245"
"101","36","disgust","12"
"102","36","anger","22"
"103","36","joy","29"
"104","36","surprise","31"
"105","36","sadness","49"
"106","36","fear","56"
"107","36","anticipation","65"
"108","36","trust","103"
"109","36","negative","128"
"110","36","positive","205"
"111","37","surprise","24"
"112","37","anger","36"
"113","37","joy","47"
"114","37","disgust","58"
"115","37","sadness","59"
"116","37","fear","88"
"117","37","anticipation","111"
"118","37","trust","145"
"119","37","negative","169"
"120","37","positive","294"
"121","39","anger","12"
"122","39","disgust","13"
"123","39","sadness","24"
"124","39","joy","37"
"125","39","surprise","41"
"126","39","fear","45"
"127","39","anticipation","67"
"128","39","negative","69"
"129","39","trust","139"
"130","39","positive","220"
"131","41","surprise","45"
"132","41","disgust","47"
"133","41","anger","49"
"134","41","joy","61"
"135","41","sadness","74"
"136","41","fear","90"
"137","41","anticipation","106"
"138","41","trust","155"
"139","41","negative","170"
"140","41","positive","334"
"141","42","joy","29"
"142","42","surprise","36"
"143","42","disgust","47"
"144","42","anger","49"
"145","42","anticipation","73"
"146","42","sadness","75"
"147","42","fear","111"
"148","42","trust","170"
"149","42","negative","177"
"150","42","positive","281"
"151","50","disgust","54"
"152","50","surprise","55"
"153","50","joy","67"
"154","50","anger","76"
"155","50","sadness","123"
"156","50","anticipation","127"
"157","50","fear","144"
"158","50","trust","195"
"159","50","negative","253"
"160","50","positive","385"
"161","52","disgust","47"
"162","52","surprise","52"
"163","52","joy","62"
"164","52","anger","69"
"165","52","anticipation","78"
"166","52","sadness","96"
"167","52","fear","101"
"168","52","trust","148"
"169","52","negative","169"
"170","52","positive","271"
"171","61","surprise","20"
"172","61","anger","25"
"173","61","sadness","37"
"174","61","fear","48"
"175","61","joy","50"
"176","61","anticipation","74"
"177","61","disgust","80"
"178","61","trust","84"
"179","61","negative","135"
"180","61","positive","201"
"181","80","disgust","12"
"182","80","anger","21"
"183","80","joy","23"
"184","80","surprise","33"
"185","80","fear","38"
"186","80","sadness","38"
"187","80","anticipation","80"
"188","80","negative","92"
"189","80","trust","115"
"190","80","positive","154"
"191","81","disgust","23"
"192","81","anger","27"
"193","81","surprise","30"
"194","81","sadness","45"
"195","81","joy","60"
"196","81","fear","62"
"197","81","anticipation","91"
"198","81","negative","175"
"199","81","trust","190"
"200","81","positive","343"
"201","82","surprise","34"
"202","82","anger","37"
"203","82","disgust","43"
"204","82","joy","46"
"205","82","fear","76"
"206","82","sadness","84"
"207","82","anticipation","104"
"208","82","trust","162"
"209","82","negative","167"
"210","82","positive","267"
"211","98","surprise","12"
"212","98","joy","14"
"213","98","anger","17"
"214","98","sadness","22"
"215","98","disgust","23"
"216","98","anticipation","35"
"217","98","fear","39"
"218","98","trust","51"
"219","98","negative","74"
"220","98","positive","96"
"221","104","surprise","53"
"222","104","anger","55"
"223","104","joy","57"
"224","104","disgust","79"
"225","104","sadness","88"
"226","104","fear","89"
"227","104","anticipation","110"
"228","104","trust","198"
"229","104","negative","244"
"230","104","positive","332"
"231","107","anger","52"
"232","107","disgust","60"
"233","107","surprise","70"
"234","107","joy","75"
"235","107","sadness","76"
"236","107","fear","86"
"237","107","anticipation","171"
"238","107","negative","188"
"239","107","trust","240"
"240","107","positive","458"
"241","116","surprise","12"
"242","116","joy","16"
"243","116","anger","17"
"244","116","sadness","22"
"245","116","disgust","23"
"246","116","anticipation","27"
"247","116","fear","27"
"248","116","trust","58"
"249","116","negative","60"
"250","116","positive","112"
"251","117","disgust","4"
"252","117","anger","10"
"253","117","surprise","10"
"254","117","fear","15"
"255","117","sadness","18"
"256","117","joy","20"
"257","117","anticipation","32"
"258","117","negative","57"
"259","117","trust","66"
"260","117","positive","95"
"261","122","anger","25"
"262","122","surprise","31"
"263","122","joy","39"
"264","122","fear","49"
"265","122","disgust","55"
"266","122","sadness","68"
"267","122","anticipation","73"
"268","122","trust","104"
"269","122","negative","134"
"270","122","positive","216"
"271","125","anger","36"
"272","125","surprise","41"
"273","125","joy","46"
"274","125","sadness","61"
"275","125","disgust","72"
"276","125","fear","83"
"277","125","anticipation","109"
"278","125","trust","135"
"279","125","negative","163"
"280","125","positive","276"
"281","134","surprise","52"
"282","134","disgust","66"
"283","134","joy","66"
"284","134","anger","98"
"285","134","anticipation","113"
"286","134","sadness","120"
"287","134","fear","143"
"288","134","trust","225"
"289","134","negative","310"
"290","134","positive","366"
"291","137","disgust","25"
"292","137","surprise","29"
"293","137","anger","32"
"294","137","joy","33"
"295","137","anticipation","62"
"296","137","sadness","68"
"297","137","fear","70"
"298","137","trust","109"
"299","137","negative","125"
"300","137","positive","193"
"301","145","anger","16"
"302","145","disgust","33"
"303","145","sadness","38"
"304","145","surprise","39"
"305","145","fear","41"
"306","145","joy","49"
"307","145","anticipation","89"
"308","145","negative","114"
"309","145","trust","130"
"310","145","positive","250"
"311","146","surprise","17"
"312","146","anger","18"
"313","146","joy","22"
"314","146","disgust","23"
"315","146","sadness","48"
"316","146","fear","50"
"317","146","anticipation","53"
"318","146","trust","74"
"319","146","negative","112"
"320","146","positive","177"
"321","148","joy","26"
"322","148","surprise","29"
"323","148","disgust","35"
"324","148","anger","45"
"325","148","sadness","47"
"326","148","anticipation","50"
"327","148","fear","70"
"328","148","trust","86"
"329","148","negative","126"
"330","148","positive","177"
"331","150","anger","21"
"332","150","surprise","29"
"333","150","sadness","46"
"334","150","fear","55"
"335","150","joy","56"
"336","150","disgust","63"
"337","150","anticipation","74"
"338","150","negative","133"
"339","150","trust","142"
"340","150","positive","270"
"341","154","disgust","12"
"342","154","anger","19"
"343","154","surprise","19"
"344","154","joy","24"
"345","154","sadness","28"
"346","154","fear","32"
"347","154","anticipation","45"
"348","154","negative","63"
"349","154","trust","81"
"350","154","positive","139"
"351","155","disgust","28"
"352","155","anger","50"
"353","155","surprise","61"
"354","155","sadness","62"
"355","155","joy","76"
"356","155","fear","83"
"357","155","negative","162"
"358","155","anticipation","164"
"359","155","trust","220"
"360","155","positive","486"
"361","158","surprise","27"
"362","158","anger","41"
"363","158","disgust","42"
"364","158","joy","74"
"365","158","sadness","89"
"366","158","fear","99"
"367","158","anticipation","114"
"368","158","negative","173"
"369","158","trust","226"
"370","158","positive","389"
"371","159","disgust","38"
"372","159","joy","38"
"373","159","anger","48"
"374","159","surprise","52"
"375","159","sadness","73"
"376","159","anticipation","86"
"377","159","fear","89"
"378","159","trust","162"
"379","159","negative","209"
"380","159","positive","283"
"381","160","disgust","19"
"382","160","anger","21"
"383","160","sadness","33"
"384","160","surprise","34"
"385","160","joy","37"
"386","160","fear","54"
"387","160","negative","82"
"388","160","anticipation","89"
"389","160","trust","123"
"390","160","positive","208"
"391","162","anger","64"
"392","162","surprise","65"
"393","162","sadness","77"
"394","162","disgust","95"
"395","162","joy","115"
"396","162","fear","125"
"397","162","anticipation","140"
"398","162","negative","250"
"399","162","trust","276"
"400","162","positive","474"
"401","165","surprise","25"
"402","165","anger","31"
"403","165","disgust","38"
"404","165","fear","59"
"405","165","sadness","59"
"406","165","joy","65"
"407","165","anticipation","105"
"408","165","trust","134"
"409","165","negative","166"
"410","165","positive","286"
"411","166","surprise","45"
"412","166","joy","54"
"413","166","disgust","61"
"414","166","anger","76"
"415","166","sadness","118"
"416","166","anticipation","136"
"417","166","fear","137"
"418","166","trust","250"
"419","166","negative","295"
"420","166","positive","433"
"421","168","disgust","36"
"422","168","surprise","41"
"423","168","anger","42"
"424","168","joy","52"
"425","168","sadness","81"
"426","168","fear","91"
"427","168","anticipation","103"
"428","168","negative","200"
"429","168","trust","247"
"430","168","positive","386"
"431","170","surprise","16"
"432","170","disgust","30"
"433","170","anger","31"
"434","170","joy","44"
"435","170","anticipation","58"
"436","170","fear","61"
"437","170","sadness","65"
"438","170","trust","105"
"439","170","negative","127"
"440","170","positive","224"
"441","171","surprise","16"
"442","171","anger","23"
"443","171","disgust","25"
"444","171","joy","30"
"445","171","sadness","46"
"446","171","anticipation","55"
"447","171","fear","55"
"448","171","trust","81"
"449","171","negative","100"
"450","171","positive","180"
"451","172","surprise","38"
"452","172","disgust","42"
"453","172","joy","45"
"454","172","anger","57"
"455","172","fear","90"
"456","172","anticipation","98"
"457","172","trust","102"
"458","172","sadness","104"
"459","172","negative","237"
"460","172","positive","242"
"461","175","surprise","23"
"462","175","anger","29"
"463","175","disgust","44"
"464","175","sadness","57"
"465","175","joy","61"
"466","175","fear","75"
"467","175","anticipation","98"
"468","175","trust","151"
"469","175","negative","162"
"470","175","positive","270"
"471","176","disgust","7"
"472","176","anger","19"
"473","176","fear","25"
"474","176","sadness","26"
"475","176","surprise","28"
"476","176","joy","36"
"477","176","negative","66"
"478","176","anticipation","80"
"479","176","trust","120"
"480","176","positive","234"
"481","180","surprise","39"
"482","180","anger","44"
"483","180","joy","60"
"484","180","disgust","65"
"485","180","sadness","81"
"486","180","fear","103"
"487","180","anticipation","106"
"488","180","negative","176"
"489","180","trust","203"
"490","180","positive","341"
"491","183","disgust","35"
"492","183","surprise","36"
"493","183","joy","39"
"494","183","anger","45"
"495","183","sadness","75"
"496","183","anticipation","80"
"497","183","fear","82"
"498","183","trust","121"
"499","183","negative","162"
"500","183","positive","217"
"501","185","disgust","12"
"502","185","anger","25"
"503","185","fear","30"
"504","185","sadness","38"
"505","185","surprise","44"
"506","185","joy","52"
"507","185","negative","79"
"508","185","anticipation","99"
"509","185","trust","174"
"510","185","positive","274"
"511","187","anger","5"
"512","187","disgust","6"
"513","187","surprise","6"
"514","187","joy","10"
"515","187","anticipation","12"
"516","187","fear","13"
"517","187","sadness","13"
"518","187","trust","17"
"519","187","negative","24"
"520","187","positive","30"
"521","188","joy","22"
"522","188","surprise","22"
"523","188","disgust","27"
"524","188","anger","32"
"525","188","sadness","47"
"526","188","anticipation","49"
"527","188","fear","53"
"528","188","trust","101"
"529","188","negative","103"
"530","188","positive","158"
"531","191","surprise","1"
"532","191","fear","3"
"533","191","joy","3"
"534","191","trust","3"
"535","191","disgust","4"
"536","191","sadness","4"
"537","191","anger","7"
"538","191","negative","8"
"539","191","anticipation","10"
"540","191","positive","24"
"541","193","surprise","37"
"542","193","joy","39"
"543","193","disgust","53"
"544","193","anger","54"
"545","193","sadness","68"
"546","193","fear","91"
"547","193","anticipation","110"
"548","193","negative","175"
"549","193","trust","193"
"550","193","positive","329"
"551","196","disgust","26"
"552","196","anger","30"
"553","196","surprise","33"
"554","196","joy","46"
"555","196","sadness","47"
"556","196","fear","57"
"557","196","anticipation","103"
"558","196","negative","135"
"559","196","trust","179"
"560","196","positive","288"
"561","197","surprise","16"
"562","197","anger","17"
"563","197","disgust","18"
"564","197","joy","18"
"565","197","sadness","26"
"566","197","fear","32"
"567","197","anticipation","39"
"568","197","trust","60"
"569","197","negative","67"
"570","197","positive","118"
"571","198","surprise","31"
"572","198","disgust","35"
"573","198","anger","43"
"574","198","joy","50"
"575","198","anticipation","76"
"576","198","sadness","77"
"577","198","fear","84"
"578","198","negative","160"
"579","198","trust","167"
"580","198","positive","287"
"581","200","disgust","27"
"582","200","anger","43"
"583","200","surprise","44"
"584","200","joy","58"
"585","200","fear","74"
"586","200","sadness","78"
"587","200","anticipation","131"
"588","200","negative","149"
"589","200","trust","209"
"590","200","positive","403"
